state,date_dt,new_case,tot_cases,new_death,tot_death
KY,2020-08-31,18245,48396,198,933
KY,2020-09-30,20444,68840,241,1174
KY,2020-10-31,38379,107219,311,1485
KY,2020-11-30,22461,129680,137,1622
LA,2020-01-31,0,0,0,0
LA,2020-02-29,0,0,0,0
LA,2020-03-31,5237,5237,239,239
LA,2020-04-30,22807,28044,1666,1905
LA,2020-05-31,11872,39916,886,2791
LA,2020-06-30,18179,58095,430,3221
LA,2020-07-31,58185,116280,728,3949
LA,2020-08-31,32614,148894,1001,4950
LA,2020-09-30,18564,167458,561,5511
LA,2020-10-31,19191,186649,408,5919
LA,2020-11-30,11882,198531,178,6097
MA,2020-01-31,0,0,0,0
MA,2020-02-29,1,1,0,0
MA,2020-03-31,6619,6620,89,89
MA,2020-04-30,55585,62205,3473,3562
MA,2020-05-31,34760,96965,3284,6846
MA,2020-06-30,11917,108882,1208,8095
MA,2020-07-31,8730,117612,555,8609
MA,2020-08-31,10590,128202,451,9060
MA,2020-09-30,11447,139649,390,9450
MA,2020-10-31,24768,164417,524,9974
MA,2020-11-30,20432,184849,249,10223
MD,2020-01-31,0,0,0,0
MD,2020-02-29,0,0,0,0
MD,2020-03-31,1660,1660,18,18
MD,2020-04-30,21812,23472,1174,1192
MD,2020-05-31,29855,53327,1360,2552
MD,2020-06-30,14591,67918,653,3205
MD,2020-07-31,21447,89365,301,3506
MD,2020-08-31,19498,108863,255,3761
MD,2020-09-30,16647,125510,188,3949
MD,2020-10-31,20635,146145,203,4152
MD,2020-11-30,15624,161769,121,4273
ME,2020-01-31,0,0,0,0
ME,2020-02-29,0,0,0,0
ME,2020-03-31,303,303,5,5
ME,2020-04-30,820,1123,50,55
ME,2020-05-31,1226,2349,34,89
ME,2020-06-30,945,3294,16,105
ME,2020-07-31,643,3937,18,123
ME,2020-08-31,611,4548,9,132
ME,2020-09-30,883,5431,10,142
ME,2020-10-31,1237,6668,5,147
ME,2020-11-30,1971,8639,15,162
MI,2020-01-31,0,0,0,0
MI,2020-02-29,0,0,0,0
MI,2020-03-31,7615,7615,259,259
MI,2020-04-30,33764,41379,3530,3789
MI,2020-05-31,16018,57397,1702,5491
MI,2020-06-30,13331,70728,702,6193
MI,2020-07-31,19846,90574,257,6450
MI,2020-08-31,22451,113025,303,6753
MI,2020-09-30,24989,138014,330,7083
MI,2020-10-31,59392,197406,616,7699
MI,2020-11-30,61777,259183,486,8185
MN,2020-01-31,0,0,0,0
MN,2020-02-29,0,0,0,0
MN,2020-03-31,689,689,17,17
MN,2020-04-30,4447,5136,326,343
MN,2020-05-31,20072,25208,717,1060
MN,2020-06-30,11508,36716,422,1482
MN,2020-07-31,18472,55188,164,1646
MN,2020-08-31,20676,75864,220,1866
MN,2020-09-30,23270,99134,223,2089
MN,2020-10-31,49338,148472,422,2511
MN,2020-11-30,53323,201795,338,2849
MO,2020-01-31,0,0,0,0
MO,2020-02-29,0,0,0,0
MO,2020-03-31,1327,1327,14,14
MO,2020-04-30,6235,7562,315,329
MO,2020-05-31,5585,13147,443,772
MO,2020-06-30,8404,21551,243,1015
MO,2020-07-31,28772,50323,228,1243
MO,2020-08-31,34374,84697,287,1530
MO,2020-09-30,41416,126113,588,2118
MO,2020-10-31,59422,185535,908,3026
MO,2020-11-30,39836,225371,313,3339
MS,2020-01-31,0,0,0,0
MS,2020-02-29,0,0,0,0
MS,2020-03-31,1073,1073,22,22
MS,2020-04-30,6139,7212,260,282
MS,2020-05-31,8540,15752,457,739
MS,2020-06-30,12148,27900,343,1082
MS,2020-07-31,31981,59881,611,1693
MS,2020-08-31,23703,83584,800,2493
MS,2020-09-30,15302,98886,486,2979
MS,2020-10-31,21614,120500,369,3348
MS,2020-11-30,11470,131970,171,3519
MT,2020-01-31,0,0,0,0
MT,2020-02-29,0,0,0,0
MT,2020-03-31,203,203,5,5
MT,2020-04-30,250,453,11,16
MT,2020-05-31,62,515,1,17
MT,2020-06-30,503,1018,5,22
MT,2020-07-31,2947,3965,38,60
MT,2020-08-31,3528,7493,45,105
MT,2020-09-30,5900,13393,76,181
MT,2020-10-31,19408,32801,194,375
MT,2020-11-30,10230,43031,97,472
NC,2020-01-31,0,0,0,0
NC,2020-02-29,0,0,0,0
NC,2020-03-31,1498,1498,8,8
NC,2020-04-30,9011,10509,370,378
NC,2020-05-31,18081,28590,508,886
NC,2020-06-30,36147,64737,457,1343
NC,2020-07-31,58344,123081,581,1924
NC,2020-08-31,47003,170084,778,2702
NC,2020-09-30,40548,210632,830,3532
NC,2020-10-31,64003,274635,846,4378
NC,2020-11-30,28819,303454,328,4706
ND,2020-01-31,0,0,0,0
ND,2020-02-29,0,0,0,0
ND,2020-03-31,126,126,3,3
ND,2020-04-30,941,1067,16,19
ND,2020-05-31,1510,2577,42,61
ND,2020-06-30,999,3576,18,87
ND,2020-07-31,3026,6602,24,103
ND,2020-08-31,5398,12000,42,145
ND,2020-09-30,10218,22218,111,256
ND,2020-10-31,22825,45043,275,531
ND,2020-11-30,15559,60602,176,707
NE,2020-01-31,0,0,0,0
NE,2020-02-29,0,0,0,0
NE,2020-03-31,177,177,3,3
NE,2020-04-30,4104,4281,67,70
NE,2020-05-31,9820,14101,100,170
NE,2020-06-30,5076,19177,104,274
NE,2020-07-31,7034,26211,58,332
NE,2020-08-31,8076,34287,65,397
NE,2020-09-30,11277,45564,81,478
NE,2020-10-31,25168,70732,174,652
NE,2020-11-30,21821,92553,104,756
NH,2020-01-31,0,0,0,0
NH,2020-02-29,0,0,0,0
NH,2020-03-31,367,367,3,3
NH,2020-04-30,1779,2146,69,72
NH,2020-05-31,2505,4651,173,245
NH,2020-06-30,1131,5782,126,371
NH,2020-07-31,801,6583,44,415
NH,2020-08-31,692,7275,17,432
NH,2020-09-30,991,8266,7,439
NH,2020-10-31,2818,11084,44,483
NH,2020-11-30,2386,13470,12,495
NJ,2020-01-31,0,0,0,0
NJ,2020-02-29,0,0,0,0
NJ,2020-03-31,18696,18696,267,267
NJ,2020-04-30,99956,118652,6961,7228
NJ,2020-05-31,41793,160445,4470,11698
NJ,2020-06-30,11222,171667,3337,15035
NJ,2020-07-31,9993,181660,784,15825
NJ,2020-08-31,10300,191960,126,15953
NJ,2020-09-30,13315,205275,177,16122
NJ,2020-10-31,32611,237886,228,16350
NJ,2020-11-30,29100,266986,145,16495
NM,2020-01-31,0,0,0,0
NM,2020-02-29,0,0,0,0
NM,2020-03-31,315,315,5,5
NM,2020-04-30,3096,3411,118,123
NM,2020-05-31,4278,7689,233,356
NM,2020-06-30,4458,12147,141,497
NM,2020-07-31,8453,20600,145,642
NM,2020-08-31,4752,25352,137,779
NM,2020-09-30,4083,29435,98,877
NM,2020-10-31,17055,46490,141,1018
NM,2020-11-30,14286,60776,158,1176
NV,2020-01-31,0,0,0,0
NV,2020-02-29,0,0,0,0
NV,2020-03-31,1113,1113,26,29
NV,2020-04-30,3894,5007,226,252
NV,2020-05-31,3603,8610,186,438
NV,2020-06-30,10074,18684,91,536
NV,2020-07-31,29628,48312,327,856
NV,2020-08-31,21172,69484,478,1334
NV,2020-09-30,10601,80085,308,1642
NV,2020-10-31,20678,100763,135,1777
NV,2020-11-30,14117,114880,103,1880
NY,2020-01-31,0,0,0,0
NY,2020-02-29,0,0,0,0
NY,2020-03-31,32656,32656,211,211
NY,2020-04-30,104238,136894,5134,5345
NY,2020-05-31,30573,167467,2785,8130
NY,2020-06-30,10808,178275,550,8680
NY,2020-07-31,11591,189866,161,8841
NY,2020-08-31,10653,200519,111,8952
NY,2020-09-30,14089,214608,89,9041
NY,2020-10-31,29663,244271,222,9263
NY,2020-11-30,24515,268786,175,9438
OH,2020-01-31,0,0,0,0
OH,2020-02-29,0,0,0,0
OH,2020-03-31,2199,2199,55,55
OH,2020-04-30,15828,18027,920,975
OH,2020-05-31,17486,35513,1180,2155
OH,2020-06-30,16276,51789,708,2863
OH,2020-07-31,39370,91159,626,3489
OH,2020-08-31,31998,123157,649,4138
OH,2020-09-30,30830,153987,666,4804
OH,2020-10-31,61710,215697,497,5301
OH,2020-11-30,58760,274457,357,5658
OK,2020-01-31,0,0,0,0
OK,2020-02-29,0,0,0,0
OK,2020-03-31,565,565,23,23
OK,2020-04-30,3053,3618,199,222
OK,2020-05-31,2662,6280,111,333
OK,2020-06-30,6937,13217,68,401
OK,2020-07-31,25888,39105,140,541
OK,2020-08-31,25003,64108,259,800
OK,2020-09-30,29334,93442,237,1037
OK,2020-10-31,35749,129191,307,1344
OK,2020-11-30,26438,155629,153,1497
OR,2020-01-31,0,0,0,0
OR,2020-02-29,1,1,0,0
OR,2020-03-31,689,690,18,18
OR,2020-04-30,1820,2510,85,103
OR,2020-05-31,1733,4243,50,153
OR,2020-06-30,4413,8656,54,207
OR,2020-07-31,9837,18493,115,322
OR,2020-08-31,8220,26713,137,459
OR,2020-09-30,6796,33509,100,559
OR,2020-10-31,11412,44921,130,689
OR,2020-11-30,8958,53879,57,746
PA,2020-01-31,0,0,0,0
PA,2020-02-29,0,0,0,0
PA,2020-03-31,4843,4843,63,63
PA,2020-04-30,40920,45763,2229,2292
PA,2020-05-31,26519,72282,3275,5567
PA,2020-06-30,14960,87242,1120,6687
PA,2020-07-31,25694,112936,517,7204
PA,2020-08-31,21089,134025,469,7673
PA,2020-09-30,24942,158967,469,8142
PA,2020-10-31,49060,208027,670,8812
PA,2020-11-30,40829,248856,382,9194
RI,2020-01-31,0,0,0,0
RI,2020-02-29,0,0,0,0
RI,2020-03-31,520,520,8,8
RI,2020-04-30,8101,8621,258,266
RI,2020-05-31,6307,14928,452,718
RI,2020-06-30,1885,16813,232,950
RI,2020-07-31,2209,19022,57,1007
RI,2020-08-31,2927,21949,41,1048
RI,2020-09-30,2799,24748,66,1114
RI,2020-10-31,8126,32874,87,1201
RI,2020-11-30,7890,40764,49,1250
SC,2020-01-31,0,0,0,0
SC,2020-02-29,0,0,0,0
SC,2020-03-31,1083,1083,22,22
SC,2020-04-30,5012,6095,222,244
SC,2020-05-31,5766,11861,250,494
SC,2020-06-30,24538,36399,245,739
SC,2020-07-31,52617,89016,973,1712
SC,2020-08-31,29976,118992,1008,2720
SC,2020-09-30,28950,147942,658,3378
SC,2020-10-31,28670,176612,557,3935
SC,2020-11-30,13878,190490,149,4084
SD,2020-01-31,0,0,0,0
SD,2020-02-29,0,0,0,0
SD,2020-03-31,108,108,1,1
SD,2020-04-30,2341,2449,16,17
SD,2020-05-31,2544,4993,45,62
SD,2020-06-30,1771,6764,29,91
SD,2020-07-31,2000,8764,39,130
SD,2020-08-31,4745,13509,37,167
SD,2020-09-30,8880,22389,56,223
SD,2020-10-31,23603,45992,202,425
SD,2020-11-30,14724,60716,142,567
TN,2020-01-31,0,0,0,0
TN,2020-02-29,0,0,0,0
TN,2020-03-31,2239,2239,23,23
TN,2020-04-30,8496,10735,176,199
TN,2020-05-31,12424,23159,167,366
TN,2020-06-30,20350,43509,238,604
TN,2020-07-31,62450,105959,456,1060
TN,2020-08-31,48974,154933,694,1754
TN,2020-09-30,41206,196139,700,2454
TN,2020-10-31,64533,260672,899,3353
TN,2020-11-30,36053,296725,435,3788
TX,2020-01-31,0,0,0,0
TX,2020-02-29,0,0,0,0
TX,2020-03-31,3266,3266,41,41
TX,2020-04-30,24821,28087,741,782
TX,2020-05-31,36200,64287,890,1672
TX,2020-06-30,95699,159986,752,2424
TX,2020-07-31,260960,420946,4145,6569
TX,2020-08-31,192023,612969,5967,12536
TX,2020-09-30,135998,748967,3175,15711
TX,2020-10-31,151629,900596,2313,18024
TX,2020-11-30,93245,993841,1123,19147
UT,2020-01-31,0,0,0,0
UT,2020-02-29,0,0,0,0
UT,2020-03-31,934,934,5,5
UT,2020-04-30,3819,4753,41,46
UT,2020-05-31,5191,9944,67,113
UT,2020-06-30,12802,22746,60,173
UT,2020-07-31,18051,40797,134,307
UT,2020-08-31,11995,52792,101,408
UT,2020-09-30,20250,73042,51,459
UT,2020-10-31,41614,114656,145,604
UT,2020-11-30,28983,143639,83,687
VA,2020-01-31,0,0,0,0
VA,2020-02-29,0,0,0,0
VA,2020-03-31,1484,1484,34,34
VA,2020-04-30,15417,16901,547,581
VA,2020-05-31,28497,45398,811,1392
VA,2020-06-30,17389,62787,371,1763
VA,2020-07-31,28014,90801,452,2215
VA,2020-08-31,30814,121615,397,2612
VA,2020-09-30,27106,148721,616,3228
VA,2020-10-31,33672,182393,427,3655
VA,2020-11-30,16870,199263,130,3785
VI,2020-01-31,0,0,0,0
VI,2020-02-29,0,0,0,0
VI,2020-03-31,30,30,0,0
VI,2020-04-30,36,66,4,4
VI,2020-05-31,3,69,2,6
VI,2020-06-30,21,90,0,6
VI,2020-07-31,331,421,2,8
VI,2020-08-31,718,1139,7,15
VI,2020-09-30,179,1318,5,20
VI,2020-10-31,60,1378,1,21
VI,2020-11-30,48,1426,2,23
VT,2020-01-31,0,0,0,0
VT,2020-02-29,0,0,0,0
VT,2020-03-31,293,293,13,13
VT,2020-04-30,573,866,36,49
VT,2020-05-31,115,981,6,55
VT,2020-06-30,227,1208,1,56
VT,2020-07-31,206,1414,1,57
VT,2020-08-31,215,1629,1,58
VT,2020-09-30,126,1755,0,58
VT,2020-10-31,402,2157,0,58
VT,2020-11-30,494,2651,1,59
WA,2020-01-31,1,1,0,0
WA,2020-02-29,6,7,1,1
WA,2020-03-31,4889,4896,194,195
WA,2020-04-30,9431,14327,619,814
WA,2020-05-31,7375,21702,304,1118
WA,2020-06-30,11122,32824,214,1332
WA,2020-07-31,22979,55803,232,1564
WA,2020-08-31,18832,74635,351,1915
WA,2020-09-30,12887,87522,211,2126
WA,2020-10-31,19979,107501,240,2366
WA,2020-11-30,15855,123356,141,2507
WI,2020-01-31,0,0,0,0
WI,2020-02-29,0,0,0,0
WI,2020-03-31,1351,1351,16,16
WI,2020-04-30,5503,6854,300,316
WI,2020-05-31,11549,18403,276,592
WI,2020-06-30,13259,31662,199,791
WI,2020-07-31,25272,56934,150,941
WI,2020-08-31,23634,80568,189,1130
WI,2020-09-30,48555,129123,207,1337
WI,2020-10-31,108747,237870,755,2092
WI,2020-11-30,71702,309572,529,2621
WV,2020-01-31,0,0,0,0
WV,2020-02-29,0,0,0,0
WV,2020-03-31,162,162,1,1
WV,2020-04-30,963,1125,43,44
WV,2020-05-31,885,2010,31,75
WV,2020-06-30,895,2905,18,93
WV,2020-07-31,3737,6642,23,116
WV,2020-08-31,3608,10250,98,214
WV,2020-09-30,5598,15848,136,350
WV,2020-10-31,8612,24460,107,457
WV,2020-11-30,6437,30897,98,555
WY,2020-01-31,0,0,0,0
WY,2020-02-29,0,0,0,0
WY,2020-03-31,120,120,0,0
WY,2020-04-30,439,559,7,7
WY,2020-05-31,344,903,10,17
WY,2020-06-30,584,1487,3,20
WY,2020-07-31,1239,2726,6,26
WY,2020-08-31,1116,3842,11,37
WY,2020-09-30,2106,5948,13,50
WY,2020-10-31,7350,13298,37,87
WY,2020-11-30,7181,20479,40,127
