Date,State,"Opioids (T40.0-T40.4,T40.6)",Number of Deaths,Number of Drug Overdose Deaths
2020-02-01,OK,233,"39,957",622
2020-03-01,OK,248,"39,872",649
2020-04-01,OK,257,"40,078",663
2020-05-01,OK,266,"40,217",682
2019-12-01,OR,328,"37,428",619
2020-01-01,OR,339,"37,476",630
2020-02-01,OR,341,"37,588",633
2020-03-01,OR,345,"37,556",641
2020-04-01,OR,350,"37,737",652
2020-05-01,OR,391,"37,794",702
2019-12-01,RI,251,"10,619",317
2020-01-01,RI,254,"10,516",318
2020-02-01,RI,262,"10,583",326
2020-03-01,RI,266,"10,579",327
2020-04-01,RI,276,"10,920",340
2020-05-01,RI,284,"11,390",343
2019-12-01,SC,878,"50,008","1,132"
2020-01-01,SC,887,"50,257","1,146"
2020-02-01,SC,901,"50,500","1,170"
2020-03-01,SC,946,"50,856","1,234"
2020-04-01,SC,997,"51,455","1,289"
2020-05-01,SC,"1,073","51,876","1,367"
2019-12-01,SD,38,"8,387",88
2020-01-01,SD,39,"8,384",88
2020-02-01,SD,41,"8,422",87
2020-03-01,SD,39,"8,451",92
2020-04-01,SD,39,"8,431",95
2020-05-01,SD,36,"8,432",91
2019-12-01,TN,"1,566","75,760","2,138"
2020-01-01,TN,"1,592","76,292","2,161"
2020-02-01,TN,"1,624","76,411","2,201"
2020-03-01,TN,"1,682","76,853","2,272"
2020-04-01,TN,"1,756","76,935","2,345"
2020-05-01,TN,"1,915","77,257","2,503"
2019-12-01,TX,"1,452","206,453","3,123"
2020-01-01,TX,"1,467","206,820","3,185"
2020-02-01,TX,"1,490","207,904","3,253"
2020-03-01,TX,"1,486","208,205","3,285"
2020-04-01,TX,"1,536","209,996","3,376"
2020-05-01,TX,"1,622","211,931","3,472"
2019-12-01,UT,400,"19,428",576
2020-01-01,UT,398,"19,420",568
2020-02-01,UT,399,"19,435",561
2020-03-01,UT,390,"19,474",551
2020-04-01,UT,401,"19,560",563
2020-05-01,UT,407,"19,585",572
2019-12-01,VA,"1,252","69,429","1,538"
2020-01-01,VA,"1,274","69,960","1,562"
2020-02-01,VA,"1,275","70,239","1,561"
2020-03-01,VA,"1,277","70,550","1,570"
2020-04-01,VA,"1,317","71,738","1,610"
2020-05-01,VA,"1,411","72,617","1,701"
2019-12-01,VT,102,"5,656",118
2020-01-01,VT,101,"5,653",116
2020-02-01,VT,94,"5,695",110
2020-03-01,VT,97,"5,754",114
2020-04-01,VT,103,"5,767",123
2020-05-01,VT,113,"5,828",136
2019-12-01,WA,815,"58,220","1,250"
2020-01-01,WA,814,"58,350","1,261"
2020-02-01,WA,813,"58,302","1,270"
2020-03-01,WA,842,"58,433","1,308"
2020-04-01,WA,888,"58,982","1,372"
2020-05-01,WA,945,"59,033","1,433"
2019-12-01,WI,928,"53,981","1,198"
2020-01-01,WI,957,"54,098","1,231"
2020-02-01,WI,999,"54,545","1,282"
2020-03-01,WI,990,"54,870","1,277"
2020-04-01,WI,"1,017","55,319","1,296"
2020-05-01,WI,"1,070","55,608","1,352"
2019-12-01,WV,673,"22,897",868
2020-01-01,WV,688,"22,917",883
2020-02-01,WV,695,"23,044",899
2020-03-01,WV,698,"23,088",904
2020-04-01,WV,709,"23,071",924
2020-05-01,WV,811,"23,094","1,027"
2019-12-01,WY,43,"4,700",72
2020-01-01,WY,47,"4,748",78
2020-02-01,WY,46,"4,783",80
2020-03-01,WY,45,"4,757",81
2020-04-01,WY,46,"4,828",83
2020-05-01,WY,51,"4,808",88
